Dependents,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Income,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
1,128.0,360.0,1.0,0,6091.0,0,1,1,0,1,0,0
0,66.0,360.0,1.0,1,3000.0,0,1,1,0,0,0,1
0,120.0,360.0,1.0,1,4941.0,0,1,0,1,0,0,1
0,141.0,360.0,1.0,1,6000.0,1,0,1,0,0,0,1
2,267.0,360.0,1.0,1,9613.0,0,1,1,0,0,0,1
0,95.0,360.0,1.0,1,3849.0,0,1,0,1,0,0,1
3,158.0,360.0,0.0,0,5540.0,0,1,1,0,0,1,0
2,168.0,360.0,1.0,1,5532.0,0,1,1,0,0,0,1
1,349.0,360.0,1.0,0,20000.0,0,1,1,0,0,1,0
2,70.0,360.0,1.0,1,3900.0,0,1,1,0,0,0,1
2,109.0,360.0,1.0,1,4340.0,0,1,1,0,0,0,1
2,200.0,360.0,1.0,1,11179.0,0,1,1,0,0,0,1
0,114.0,360.0,1.0,0,4693.0,1,0,1,0,1,0,0
2,17.0,120.0,1.0,1,2385.0,0,1,1,0,0,0,1
0,125.0,360.0,1.0,1,4950.0,1,0,1,0,0,0,1
0,76.0,360.0,0.0,0,3510.0,1,0,1,0,0,0,1
0,133.0,360.0,1.0,0,4887.0,0,1,0,1,1,0,0
0,104.0,360.0,0.0,0,7660.0,0,1,0,1,0,0,1
1,315.0,360.0,1.0,1,11580.0,0,1,1,0,0,0,1
0,116.0,360.0,0.0,0,4511.0,0,1,0,1,0,1,0
2,112.0,360.0,0.0,0,5282.0,0,1,0,1,1,0,0
0,191.0,360.0,1.0,1,9560.0,0,1,1,0,0,1,0
0,122.0,360.0,1.0,1,5052.0,0,1,1,0,0,1,0
2,110.0,360.0,1.0,1,5266.0,0,1,0,1,0,0,1
0,35.0,360.0,1.0,0,1442.0,1,0,0,1,0,0,1
2,120.0,360.0,1.0,1,5833.0,1,0,1,0,0,1,0
0,74.0,360.0,1.0,0,3167.0,1,0,1,0,0,0,1
1,106.0,360.0,1.0,0,4692.0,1,0,1,0,1,0,0
0,114.0,360.0,1.0,1,5167.0,0,1,1,0,0,1,0
3,320.0,360.0,1.0,0,15500.0,1,0,1,0,1,0,0
0,144.0,360.0,1.0,1,5126.0,0,1,1,0,0,1,0
0,184.0,360.0,1.0,1,11376.0,1,0,1,0,0,0,1
0,110.0,360.0,1.0,1,5416.0,1,0,0,1,0,1,0
0,80.0,360.0,1.0,0,3600.0,1,0,1,0,0,0,1
0,47.0,360.0,1.0,1,3013.0,1,0,1,0,0,0,1
0,134.0,360.0,1.0,1,6277.0,0,1,1,0,0,1,0
1,44.0,360.0,1.0,1,5649.0,0,1,1,0,0,0,1
0,144.0,360.0,1.0,1,5821.0,0,1,1,0,0,0,1
0,120.0,360.0,0.0,0,6085.0,0,1,1,0,0,0,1
0,144.0,360.0,1.0,1,6275.0,1,0,1,0,0,1,0
0,100.0,360.0,1.0,1,3572.0,0,1,0,1,0,1,0
0,120.0,360.0,1.0,1,3086.0,1,0,1,0,0,1,0
0,112.0,360.0,1.0,0,4230.0,1,0,1,0,0,1,0
2,134.0,360.0,1.0,0,4616.0,0,1,1,0,0,0,1
1,286.0,360.0,0.0,0,11500.0,0,1,1,0,0,0,1
2,97.0,360.0,1.0,1,3875.0,0,1,1,0,0,1,0
0,96.0,360.0,1.0,1,3723.0,0,1,1,0,0,1,0
