Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Loan_Status,Income,Montantparmois,Arembourer,Apasrembourer,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
0,5849,0.0,146050.7614213198,360.0,1,5849.0,405.6965595036661,1,0,1,0,1,0,0,0,1
1,4583,1508.0,128000.0,360.0,0,6091.0,355.55555555555554,1,0,0,1,1,0,1,0,0
0,3000,0.0,66000.0,360.0,1,3000.0,183.33333333333334,1,0,0,1,1,0,0,0,1
0,2583,2358.0,120000.0,360.0,1,4941.0,333.3333333333333,1,0,0,1,0,1,0,0,1
0,6000,0.0,141000.0,360.0,1,6000.0,391.6666666666667,1,0,1,0,1,0,0,0,1
2,5417,4196.0,267000.0,360.0,1,9613.0,741.6666666666666,1,0,0,1,1,0,0,0,1
0,2333,1516.0,95000.0,360.0,1,3849.0,263.8888888888889,1,0,0,1,0,1,0,0,1
3,3036,2504.0,158000.0,360.0,0,5540.0,438.8888888888889,0,1,0,1,1,0,0,1,0
2,4006,1526.0,168000.0,360.0,1,5532.0,466.6666666666667,1,0,0,1,1,0,0,0,1
1,12841,10000.0,349000.0,360.0,0,20000.0,969.4444444444445,1,0,0,1,1,0,0,1,0
2,3200,700.0,70000.0,360.0,1,3900.0,194.44444444444446,1,0,0,1,1,0,0,0,1
2,2500,1840.0,109000.0,360.0,1,4340.0,302.77777777777777,1,0,0,1,1,0,0,0,1
2,3073,8106.0,200000.0,360.0,1,11179.0,555.5555555555555,1,0,0,1,1,0,0,0,1
0,1853,2840.0,114000.0,360.0,0,4693.0,316.6666666666667,1,0,1,0,1,0,1,0,0
2,1299,1086.0,17000.0,120.0,1,2385.0,141.66666666666666,1,0,0,1,1,0,0,0,1
0,4950,0.0,125000.0,360.0,1,4950.0,347.22222222222223,1,0,1,0,1,0,0,0,1
1,3596,0.0,100000.0,240.0,1,3596.0,416.6666666666667,0,1,1,0,0,1,0,0,1
0,3510,0.0,76000.0,360.0,0,3510.0,211.11111111111111,0,1,1,0,1,0,0,0,1
0,4887,0.0,133000.0,360.0,0,4887.0,369.44444444444446,1,0,0,1,0,1,1,0,0
0,2600,3500.0,115000.0,341.9699499165275,1,6100.0,336.28685803554,1,0,0,1,1,0,0,0,1
0,7660,0.0,104000.0,360.0,0,7660.0,288.8888888888889,0,1,0,1,0,1,0,0,1
1,5955,5625.0,315000.0,360.0,1,11580.0,875.0,1,0,0,1,1,0,0,0,1
0,2600,1911.0,116000.0,360.0,0,4511.0,322.22222222222223,0,1,0,1,0,1,0,1,0
2,3365,1917.0,112000.0,360.0,0,5282.0,311.1111111111111,0,1,0,1,0,1,1,0,0
1,3717,2925.0,151000.0,360.0,0,6642.0,419.44444444444446,0,1,0,1,1,0,0,1,0
0,9560,0.0,191000.0,360.0,1,9560.0,530.5555555555555,1,0,0,1,1,0,0,1,0
0,2799,2253.0,122000.0,360.0,1,5052.0,338.8888888888889,1,0,0,1,1,0,0,1,0
2,4226,1040.0,110000.0,360.0,1,5266.0,305.55555555555554,1,0,0,1,0,1,0,0,1
0,1442,0.0,35000.0,360.0,0,1442.0,97.22222222222223,1,0,1,0,0,1,0,0,1
2,3750,2083.0,120000.0,360.0,1,5833.0,333.3333333333333,1,0,1,0,1,0,0,1,0
1,4166,3369.0,201000.0,360.0,0,7535.0,558.3333333333334,0,1,0,1,1,0,0,0,1
0,3167,0.0,74000.0,360.0,0,3167.0,205.55555555555554,1,0,1,0,1,0,0,0,1
1,4692,0.0,106000.0,360.0,0,4692.0,294.44444444444446,1,0,1,0,1,0,1,0,0
0,3500,1667.0,114000.0,360.0,1,5167.0,316.6666666666667,1,0,0,1,1,0,0,1,0
3,12500,3000.0,320000.0,360.0,0,15500.0,888.8888888888889,1,0,1,0,1,0,1,0,0
